open_rs,high_rs,low_rs,close_rs,tradevolume,sharevolume,turnover_rs,daily_return,return_ma7,return_ma30,volatility_30,vol_zscore,vol_thresh,TotalAssets,CurrentAssets,CashAndCashivalents,AccountsReceivable,Inventory,PPE,TotalLiabilities,CurrentLiabilities,LongTermDebt,ShareholdersEquity,RetainedEarnings,WorkingCapital,Revenue,CostOfGoodsSold,GrossProfit,OperatingExpenses,Depreciation,OperatingIncome,EBITDA,NetIncome,EPS,OperatingCF,InvestingCF,FinancingCF,NetChangeCash,Capex,FreeCashFlow,CurrentRatio,QuickRatio,CashRatio,GrossMargin,OperatingMargin,EBITDAMargin,NetProfitMargin,ROA,ROE,DebtToEquity,DebtRatio,AssetTurnover,CashFlowRatio,CashFlowToAssets,InterestCoverage,BasicDilutedEPS,DividendsPerShare,BookValuePerShare,PERatio,PBRatio,EBITDA_diff,EBITDA_z,critical_quarter,open_rs_QoQ,high_rs_QoQ,low_rs_QoQ,close_rs_QoQ,tradevolume_QoQ,sharevolume_QoQ,turnover_rs_QoQ,daily_return_QoQ,return_ma7_QoQ,return_ma30_QoQ,volatility_30_QoQ,vol_zscore_QoQ,vol_thresh_QoQ,TotalAssets_QoQ,CurrentAssets_QoQ,CashAndCashivalents_QoQ,AccountsReceivable_QoQ,Inventory_QoQ,PPE_QoQ,TotalLiabilities_QoQ,CurrentLiabilities_QoQ,LongTermDebt_QoQ,ShareholdersEquity_QoQ,RetainedEarnings_QoQ,WorkingCapital_QoQ,Revenue_QoQ,CostOfGoodsSold_QoQ,GrossProfit_QoQ,OperatingExpenses_QoQ,Depreciation_QoQ,OperatingIncome_QoQ,EBITDA_QoQ,NetIncome_QoQ,EPS_QoQ,OperatingCF_QoQ,InvestingCF_QoQ,FinancingCF_QoQ,NetChangeCash_QoQ,Capex_QoQ,FreeCashFlow_QoQ,CurrentRatio_QoQ,QuickRatio_QoQ,CashRatio_QoQ,GrossMargin_QoQ,OperatingMargin_QoQ,EBITDAMargin_QoQ,NetProfitMargin_QoQ,ROA_QoQ,ROE_QoQ,DebtToEquity_QoQ,DebtRatio_QoQ,AssetTurnover_QoQ,CashFlowRatio_QoQ,CashFlowToAssets_QoQ,InterestCoverage_QoQ,BasicDilutedEPS_QoQ,DividendsPerShare_QoQ,BookValuePerShare_QoQ,PERatio_QoQ,PBRatio_QoQ,EBITDA_diff_QoQ,EBITDA_z_QoQ,critical_quarter_QoQ,vol_mean,ret_mean,vol_mean_QoQ,ret_mean_QoQ,company_id,period
70.0,71.0,70.0,70.0,76,498373,34886322.0,-0.0140845070422535,-7.472744977082042e-05,-0.0008607047278762,0.0210814386763705,1.1268879573600257,0,26605607.0,3255727.0,2476804.0,510884.0,117063.0,18601947.0,1990610.0,1425654.0,564956.0,24614997.0,6891513.0,1830073.0,1772403.0,760738.0,1011665.0,1049413.0,119247.0,381101.0,500348.0,373943.0,0.76,594930.0,-212771.0,-1554686.0,-1170996.0,-213946.0,380984.0,2.283672616216838,2.2015608275219654,1.7379,0.5707872306693229,0.2151,0.2823,0.2109807983850174,0.0141,0.0152,0.0808698046967058,0.0748,0.6662,0.4176,0.0074,0.85,0.76,3.0,48.0,0.0,0.0,-2019317.0,-2.663693721416296,1.0,-1.2000000000000028,-3.0,-1.0,-3.5,6.0,154506.0,9470842.5,-0.0640845070422535,-0.0191397367410008,-0.0085405668087107,-2.1715920260276245e-07,0.3877161380804849,0.0,-955257.0,-1013496.0,-457411.0,34510.0,-3956.0,90562.0,217291.0,210980.0,6311.0,-1172548.0,-988557.0,-1224476.0,-6483746.0,-2470338.0,-4013408.0,-1575242.0,0.0,-2019317.0,-2019317.0,-2444568.0,-4.66,-1149714.0,239315.0,0.0,-410617.0,255145.0,-894569.0,-1.2310342104708163,-1.2135151517119689,-0.6773999999999998,-0.037858882669959,-0.0756,-0.0227999999999999,-0.1304024542670362,-0.0881,-0.0940999999999999,0.0121033129659109,0.0105,0.3667,-1.0186,0.0,0.0,-4.66,-1.0,-2.0,0.0,0.0,0.0,0.0,1.0,0.0152350437710887,0.0004109655772529,-0.0040244762814555,-0.0029498104725757,Asian_Hotels_and_Properties_PLC,2014-06-30
70.0,72.8,69.5,72.0,6,2530,178068.0,0.0013908205841446,0.00026817007591,0.0012500692010838,0.0121445805989081,-0.1173765569904972,0,27087195.0,3626650.0,2794706.0,506412.0,119649.0,18722123.0,1950677.0,1378402.0,572275.0,25136518.0,7332115.0,2248248.0,3825840.0,1623511.0,2202329.0,1798740.0,119247.0,914008.0,1033255.0,889853.0,1.75,1283797.0,-452086.0,-1554686.0,-722975.0,-469091.0,814706.0,2.631053930565974,2.544251241655192,2.0271,0.5756458712335069,0.2389,0.2701,0.2325902285511155,0.0329,0.0354,0.0776033100527288,0.0721,1.4129,0.7131,0.0074,0.85,1.75,3.0,49.0,0.0,0.0,532907.0,0.8948424723286693,0.0,0.0,1.7999999999999972,-0.5,2.0,-70.0,-495843.0,-34708254.0,0.0154753276263981,0.0003428975256808,0.00211077392896,-0.0089368580774623,-1.2442645143505229,0.0,481588.0,370923.0,317902.0,-4472.0,2586.0,120176.0,-39933.0,-47252.0,7319.0,521521.0,440602.0,418175.0,2053437.0,862773.0,1190664.0,749327.0,0.0,532907.0,532907.0,515910.0,0.99,688867.0,-239315.0,0.0,448021.0,-255145.0,433722.0,0.347381314349136,0.3426904141332265,0.2891999999999999,0.0048586405641839,0.0237999999999999,-0.0121999999999999,0.021609430166098,0.0187999999999999,0.0202,-0.0032664946439769,-0.0027,0.7467,0.2954999999999999,0.0,0.0,0.99,0.0,1.0,0.0,0.0,2552224.0,3.558536193744965,-1.0,0.0126257872184224,-0.0004448003599323,-0.0026092565526662,-0.0008557659371852,Asian_Hotels_and_Properties_PLC,2014-09-30
67.4,69.8,67.1,68.2,5,334,22788.2,-0.0243204577968526,-0.0031170652509002,0.0006932933205214,0.0145262915337532,-0.1228871820744728,0,27932810.0,4391926.0,2907475.0,767194.0,151829.0,18810211.0,2212210.0,1631116.0,581094.0,25720600.0,7812540.0,2760810.0,6062367.0,2555092.0,3507275.0,2624655.0,119247.0,1514613.0,1633860.0,1466438.0,2.83,1709093.0,-653639.0,-1554686.0,-499232.0,-694954.0,1014139.0,2.692589613491622,2.599506718099755,1.7825,0.5785322795535144,0.2499,0.2695,0.2418919870736958,0.0525,0.057,0.0860092688350971,0.0792,2.1703,0.7649,0.0074,0.85,2.83,3.0,50.0,0.0,0.0,600605.0,0.9892330051518646,0.0,-2.5999999999999943,-3.0,-2.4000000000000057,-3.799999999999997,-1.0,-2196.0,-155279.8,-0.0257112783809972,-0.0033852353268102,-0.0005567758805623,0.002381710934845,-0.0055106250839755,0.0,845615.0,765276.0,112769.0,260782.0,32180.0,88088.0,261533.0,252714.0,8819.0,584082.0,480425.0,512562.0,2236527.0,931581.0,1304946.0,825915.0,0.0,600605.0,600605.0,576585.0,1.08,425296.0,-201553.0,0.0,223743.0,-225863.0,199433.0,0.0615356829256477,0.0552554764445631,-0.2445999999999999,0.0028864083200075,0.011,-0.0005999999999999,0.0093017585225803,0.0196,0.0216,0.0084059587823683,0.0071,0.7574000000000001,0.0518,0.0,0.0,1.08,0.0,1.0,0.0,0.0,67698.0,0.0943905328231953,0.0,0.0187294377446266,-0.0019820344642777,0.0061036505262041,-0.0015372341043453,Asian_Hotels_and_Properties_PLC,2014-12-31
67.0,67.9,65.0,65.3,13,13581,887097.6,-0.0121028744326777,-0.0035236260664251,-0.0003813867217805,0.0259893302714885,-0.0896452647304721,0,29395874.0,3932511.0,2975630.0,481912.0,121019.0,18511385.0,1970459.0,1387524.0,0.0,25787545.0,7880070.0,2544987.0,8256149.0,3239562.0,5016587.0,2815989.0,455964.0,2200598.0,2656562.0,2818511.0,6.37,2575285.0,-983806.0,-2167231.0,-575752.0,-1009938.0,1571347.0,2.834193138280851,2.7469737460397083,2.1451,0.6076182733620723,0.2664,0.3217,0.3413832526520536,0.0959,0.1093,0.0764112675324463,0.067,0.2809,1.3045,0.0074,0.85,6.37,4.0,58.25,0.0,0.0,0.0,0.0,0.0,-0.4000000000000057,-1.8999999999999917,-2.0999999999999943,-2.9000000000000057,8.0,13247.0,864309.4,0.0122175833641749,-0.0004065608155249,-0.0010746800423019,0.0114630387377353,0.0332419173440007,0.0,1463064.0,-459415.0,68155.0,-285282.0,-30810.0,-298826.0,-241751.0,-243592.0,-581094.0,66945.0,67530.0,-215823.0,2193782.0,684470.0,1509312.0,191334.0,336717.0,685985.0,1022702.0,1352073.0,3.54,866192.0,-330167.0,-612545.0,-76520.0,-314984.0,557208.0,0.1416035247892293,0.1474670279399532,0.3625999999999998,0.0290859938085579,0.0165,0.0521999999999999,0.0994912655783578,0.0434,0.0522999999999999,-0.0095980013026508,-0.0122,-1.8894,0.5396,0.0,0.0,3.54,1.0,8.25,0.0,0.0,0.0,0.0,0.0,0.020581007550933,0.0013310750674586,0.0018515698063064,0.0033131095317364,Asian_Hotels_and_Properties_PLC,2015-03-31
65.9,66.0,65.4,65.9,7,583,38391.0,0.0264797507788161,0.0004801108873124,-0.0010171564144166,0.0189975887762301,-0.1222623434379018,0,28754947.0,3198313.0,2120358.0,578695.0,122819.0,20799187.0,2592971.0,1609096.0,401400.0,26161976.0,6859473.0,1589217.0,1673377.0,753377.0,920000.0,644405.0,119070.0,289951.0,409021.0,283721.0,0.68,630294.0,-215553.0,-1153286.0,-738545.0,-215046.0,414849.0,1.9876458582955896,1.9113179076947555,1.3173,0.549786449795832,0.1733,0.2444,0.1695499579592644,0.0099,0.0108,0.0991122000876386,0.0902,0.0582,0.2427,0.0074,0.85,0.68,3.0,59.11,0.0,0.0,-2247541.0,-2.1773742301661216,1.0,-1.0999999999999943,-1.9000000000000057,0.4000000000000057,0.6000000000000085,-6.0,-12998.0,-848706.6,0.0385826252114938,0.0040037369537375,-0.0006357696926361,-0.0069917414952583,-0.0326170787074296,0.0,-640927.0,-734198.0,-855272.0,96783.0,1800.0,2287802.0,622512.0,221572.0,401400.0,374431.0,-1020597.0,-955770.0,-6582772.0,-2486185.0,-4096587.0,-2171584.0,-336894.0,-1910647.0,-2247541.0,-2534790.0,-5.69,-1944991.0,768253.0,1013945.0,-162793.0,794892.0,-1156498.0,-0.8465472799852616,-0.8356558383449528,-0.8277999999999999,-0.0578318235662402,-0.0931,-0.0772999999999999,-0.1718332946927892,-0.086,-0.0984999999999999,0.0227009325551923,0.0232,-0.2226999999999999,-1.0618,0.0,0.0,-5.69,-1.0,0.8599999999999994,0.0,0.0,0.0,0.0,1.0,0.0199586421673629,-0.000671936375659,-0.0006223653835701,-0.0020030114431177,Asian_Hotels_and_Properties_PLC,2015-06-30
61.0,61.0,61.0,61.0,1,232,14152.0,-0.0393700787401575,-0.0019224564246561,-0.0011659377080377,0.0188882011136745,-0.1231431400701766,0,29085423.0,3156993.0,1951170.0,578111.0,125699.0,21163253.0,2560846.0,1540976.0,423900.0,26524577.0,7239565.0,1616017.0,1892227.0,821176.0,1071051.0,644405.0,119070.0,370017.0,489087.0,356021.0,0.85,960510.0,-714953.0,-1153286.0,-907729.0,-711635.0,248875.0,2.04869705952591,1.9671260292178463,1.2661,0.5660266976425133,0.1955,0.2584,0.1881492019720678,0.0122,0.0134,0.0965461579274195,0.0881,0.0651,0.3303,0.0074,0.85,0.85,3.0,59.9,0.0,0.0,80066.0,0.3825670281272632,0.0,-4.900000000000006,-5.0,-4.400000000000006,-4.900000000000006,-6.0,-351.0,-24239.0,-0.0658498295189736,-0.0024025673119685,-0.0001487812936211,-0.0001093876625555,-0.0008807966322748,0.0,330476.0,-41320.0,-169188.0,-584.0,2880.0,364066.0,-32125.0,-68120.0,22500.0,362601.0,380092.0,26800.0,218850.0,67799.0,151051.0,0.0,0.0,80066.0,80066.0,72300.0,0.1699999999999999,330216.0,-499400.0,0.0,-169184.0,-496589.0,-165974.0,0.0610512012303205,0.0558081215230907,-0.0511999999999999,0.0162402478466813,0.0221999999999999,0.014,0.0185992440128034,0.0023,0.0026,-0.0025660421602191,-0.0021,0.0069,0.0875999999999999,0.0,0.0,0.1699999999999999,0.0,0.7899999999999991,0.0,0.0,2327607.0,2.5599412582933847,-1.0,0.0173060255171091,-0.0009964232802797,-0.0026526166502538,-0.0003244869046206,Asian_Hotels_and_Properties_PLC,2015-09-30
51.6,52.0,51.6,52.0,8,9537,495923.6,0.0116731517509727,-0.0053105251164058,-0.0035390998988971,0.0207074422723179,-0.0997932464424928,0,29506998.0,3400844.0,2383083.0,692467.0,158507.0,21340403.0,2736380.0,1700983.0,432750.0,26770618.0,7550001.0,1699861.0,2167722.0,913347.0,1254375.0,644405.0,119070.0,511712.0,630782.0,503515.0,1.03,1398307.0,-1048028.0,-1153286.0,-803007.0,-1046576.0,351731.0,1.9993403814147463,1.90615485281158,1.4005,0.5786604555381178,0.2361,0.291,0.2322784010126759,0.0171,0.0188,0.1022157949435459,0.0927,0.0735,0.4739,0.0074,0.85,1.03,3.0,60.47,0.0,0.0,141695.0,0.450347637056246,0.0,-9.4,-9.0,-9.4,-9.0,7.0,9305.0,481771.6,0.0510432304911302,-0.0033880686917497,-0.0023731621908594,0.0018192411586433,0.0233498936276838,0.0,421575.0,243851.0,431913.0,114356.0,32808.0,177150.0,175534.0,160007.0,8850.0,246041.0,310436.0,83844.0,275495.0,92171.0,183324.0,0.0,0.0,141695.0,141695.0,147494.0,0.18,437797.0,-333075.0,0.0,104722.0,-334941.0,102856.0,-0.0493566781111638,-0.0609711764062663,0.1344,0.0126337578956045,0.0406,0.0325999999999999,0.0441291990406081,0.0049,0.0054,0.0056696370161264,0.0046,0.0083999999999999,0.1436,0.0,0.0,0.18,0.0,0.5700000000000003,0.0,0.0,61629.0,0.0677806089289828,0.0,0.0211834976673589,-0.004131082465592,0.0038774721502498,-0.0031346591853122,Asian_Hotels_and_Properties_PLC,2015-12-31
56.8,56.8,56.8,56.8,1,100,5680.0,0.017921146953405,0.0186744814230733,0.0035663428983205,0.0247375266965514,-0.1234743798293227,0,29103408.0,2822210.0,1684065.0,782657.0,125566.0,21291020.0,2566767.0,1587999.0,359897.0,26536641.0,7139930.0,1234211.0,8066693.0,3424137.0,4642556.0,2825226.0,268216.0,1817330.0,2085546.0,2022671.0,4.16,2073230.0,-1136392.0,-2260224.0,-1323386.0,-1136392.0,936838.0,1.7772114466067044,1.6981396084002571,1.0608,0.5755215923055458,0.225,0.2582,0.2507435203000783,0.0695,0.0763,0.0967253918836223,0.0882,0.2772,1.3063,0.0712,0.85,4.16,5.5,53.0,0.0,0.0,451686.0,0.7815969781274708,0.0,5.199999999999996,4.799999999999997,5.199999999999996,4.799999999999997,-7.0,-9437.0,-490243.6,0.0062479952024322,0.023985006539479,0.0071054427972176,0.0040300844242334,-0.0236811333868299,0.0,-403590.0,-578634.0,-699018.0,90190.0,-32941.0,-49383.0,-169613.0,-112984.0,-72853.0,-233977.0,-410071.0,-465650.0,5898971.0,2510790.0,3388181.0,2180821.0,149146.0,1305618.0,1454764.0,1519156.0,3.13,674923.0,-88364.0,-1106938.0,-520379.0,-89816.0,585107.0,-0.2221289348080419,-0.2080152444113228,-0.3397000000000001,-0.003138863232572,-0.0110999999999999,-0.0327999999999999,0.0184651192874023,0.0524,0.0575,-0.0054904030599236,-0.0045,0.2037,0.8324,0.0638,0.0,3.13,2.5,-7.469999999999999,0.0,0.0,309991.0,0.3312493410712248,0.0,0.0245703987347878,0.0019792590125228,0.0033869010674289,0.0061103414781148,Asian_Hotels_and_Properties_PLC,2016-03-31
55.0,55.0,55.0,55.0,3,400,22000.0,0.0,-0.0024322792179935,-0.0001370938841809,0.0184384897578677,-0.1227215621948998,0,28575618.0,2364326.0,1285296.0,732817.0,137040.0,21224604.0,2640544.0,1689262.0,328838.0,25935074.0,6595806.0,675064.0,1909366.0,822198.0,1087168.0,511337.0,133833.0,419095.0,552928.0,390023.0,0.76,678735.0,-66024.0,-998731.0,-386019.0,-69000.0,609735.0,1.3996206627509529,1.3184964795277463,0.7607,0.5693869064391007,0.2195,0.2896,0.2042683278114306,0.0137,0.015,0.1018136289104091,0.0924,0.0668,0.4023,0.0238,0.85,0.76,2.0,47.0,0.0,0.0,-1532618.0,-1.9850949750055256,1.0,-1.7999999999999972,-1.7999999999999972,-1.7999999999999972,-1.7999999999999972,2.0,300.0,16320.0,-0.017921146953405,-0.0211067606410668,-0.0037034367825014,-0.0062990369386836,0.0007528176344229,0.0,-527790.0,-457884.0,-398769.0,-49840.0,11474.0,-66416.0,73777.0,101263.0,-31059.0,-601567.0,-544124.0,-559147.0,-6157327.0,-2601939.0,-3555388.0,-2313889.0,-134383.0,-1398235.0,-1532618.0,-1632648.0,-3.4000000000000004,-1394495.0,1070368.0,1261493.0,937367.0,1067392.0,-327103.0,-0.3775907838557515,-0.3796431288725108,-0.3000999999999999,-0.006134685866445,-0.0055,0.0314,-0.0464751924886477,-0.0558,-0.0613,0.0050882370267868,0.0041999999999999,-0.2104,-0.904,-0.0474,0.0,-3.4000000000000004,-3.5,-6.0,0.0,0.0,-1984304.0,-2.7666919531329963,1.0,0.021321205608493,0.002043633493914,-0.0032491931262948,6.437448139120627e-05,Asian_Hotels_and_Properties_PLC,2016-06-30
59.5,59.5,59.5,59.9,1,1,59.5,0.0,0.0046448542138197,0.0017781917667624,0.0249172275415406,-0.1237228096486823,0,29244000.0,3084238.0,1875346.0,799821.0,140588.0,21179364.0,2660701.0,1732689.0,302672.0,26583299.0,7144472.0,1351549.0,4281400.0,1767898.0,2513502.0,1091203.0,268216.0,1094655.0,1362871.0,1030930.0,2.0,1345637.0,-151749.0,-1026247.0,167641.0,-158626.0,1190011.0,1.7800297687582711,1.6988911454969704,1.082,0.5870747886205446,0.2557,0.3184,0.2407927313495585,0.0353,0.0388,0.1000891950995247,0.091,0.1464,0.7764,0.046,0.85,2.0,2.0,53.0,0.0,0.0,809943.0,1.2811105400885252,1.0,4.5,4.5,4.5,4.899999999999999,-2.0,-399.0,-21940.5,0.0,0.0070771334318132,0.0019152856509433,0.0064787377836728,-0.0010012474537825,0.0,668382.0,719912.0,590050.0,67004.0,3548.0,-45240.0,20157.0,43427.0,-26166.0,648225.0,548666.0,676485.0,2372034.0,945700.0,1426334.0,579866.0,134383.0,675560.0,809943.0,640907.0,1.24,666902.0,-85725.0,-27516.0,553660.0,-89626.0,580276.0,0.3804091060073182,0.3803946659692241,0.3213,0.0176878821814439,0.0361999999999999,0.0287999999999999,0.0365244035381279,0.0215999999999999,0.0238,-0.0017244338108843,-0.0013999999999999,0.0796,0.3741,0.0221999999999999,0.0,1.24,0.0,6.0,0.0,0.0,2342561.0,3.2662055150940508,0.0,0.0179520363491736,-0.0001226851519334,-0.0033691692593193,-0.0021663186458474,Asian_Hotels_and_Properties_PLC,2016-09-30
